datetime,open,high,low,close,volume
2025-08-18 09:15:00+05:30,24923.150390625,24950.55078125,24884.5,24943.30078125,0
2025-08-18 09:20:00+05:30,24945.05078125,24957.0,24937.44921875,24942.19921875,0
2025-08-18 09:25:00+05:30,24942.05078125,24968.400390625,24937.400390625,24963.75,0
2025-08-18 09:30:00+05:30,24964.80078125,24995.150390625,24963.75,24988.55078125,0
2025-08-18 09:35:00+05:30,24989.19921875,24997.94921875,24983.44921875,24993.94921875,0
2025-08-18 09:40:00+05:30,24994.0,25003.69921875,24989.349609375,25001.599609375,0
2025-08-18 09:45:00+05:30,25001.599609375,25017.349609375,25000.0,25016.900390625,0
2025-08-18 09:50:00+05:30,25016.75,25021.25,24993.69921875,24995.099609375,0
2025-08-18 09:55:00+05:30,24994.55078125,25005.150390625,24989.5,25000.25,0
2025-08-18 10:00:00+05:30,25000.80078125,25009.69921875,24997.900390625,24998.599609375,0
2025-08-18 10:05:00+05:30,24998.94921875,25003.55078125,24985.69921875,24990.69921875,0
2025-08-18 10:10:00+05:30,24990.900390625,24992.900390625,24982.19921875,24988.099609375,0
2025-08-18 10:15:00+05:30,24987.599609375,24995.19921875,24980.400390625,24993.849609375,0
2025-08-18 10:20:00+05:30,24994.5,25001.150390625,24982.900390625,24987.19921875,0
2025-08-18 10:25:00+05:30,24987.44921875,24989.0,24971.69921875,24975.44921875,0
2025-08-18 10:30:00+05:30,24975.44921875,24992.849609375,24970.75,24974.05078125,0
2025-08-18 10:35:00+05:30,24973.30078125,24986.19921875,24972.69921875,24986.0,0
2025-08-18 10:40:00+05:30,24985.849609375,24996.55078125,24980.150390625,24980.19921875,0
2025-08-18 10:45:00+05:30,24980.69921875,24981.650390625,24970.650390625,24971.69921875,0
2025-08-18 10:50:00+05:30,24971.44921875,24971.44921875,24958.75,24958.75,0
2025-08-18 10:55:00+05:30,24959.19921875,24961.75,24954.19921875,24960.75,0
2025-08-18 11:00:00+05:30,24961.0,24972.5,24953.900390625,24954.44921875,0
2025-08-18 11:05:00+05:30,24954.44921875,24955.05078125,24946.900390625,24954.0,0
2025-08-18 11:10:00+05:30,24954.5,24958.5,24951.55078125,24957.25,0
2025-08-18 11:15:00+05:30,24957.55078125,24974.05078125,24952.849609375,24955.5,0
2025-08-18 11:20:00+05:30,24955.69921875,24968.349609375,24949.55078125,24967.349609375,0
2025-08-18 11:25:00+05:30,24967.599609375,24968.400390625,24961.0,24963.69921875,0
